CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
-5.66,22,1.74,0,0.4,7.9,65.36,6.49,4,156.49,19.73,403.7,-2.78
-2.72,0,14.06,1,0.63,6.33,101.2,2.6,5,320.5,17.38,428.71,7.66
11.58,0,14.63,0,0.56,6.55,101.51,2.72,5,381.58,16.6,259.26,13.03
14.49,0,12.59,0,0.51,6.42,49.19,4.04,24,623.47,19.38,335.38,9.95
-1.24,0,8.05,0,0.38,5.55,11.95,7,4,240.26,19.45,284.86,4.15
0.83,80,-5.22,0,0.38,7.18,47.92,6.48,4,-16.37,13.91,486.98,0.93
15.03,0,6.9,0,0.57,5.84,76.96,3.04,24,433.8,19.45,143.85,18.91
14.58,0,26.75,0,0.83,5.47,91.63,-0.51,24,760.42,20.06,264.37,25.52
3.52,0,11.46,0,0.43,6.85,80.23,4.2,4,374.23,19.45,232.59,14.25
6.11,0,13.96,1,0.66,7.1,111.05,-0.81,6,466.63,18.43,344.74,14.9
6.5,0,16.61,0,0.58,5.27,75.93,3.4,5,490.46,20.3,235.05,19.28
4.86,0,19.79,0,0.62,6.23,104.3,1.99,5,584.99,18.4,305.67,17.02
-11.94,0,8.54,1,0.57,6.46,84.24,3.86,4,294.75,14.67,390.67,16.05
0.03,0,10.74,0,0.59,6.25,46.45,3.07,24,367.61,16.77,221.15,7.87
14.23,0,18.85,0,0.63,5.49,88.61,3.69,7,551.58,20.67,400.36,15.68
-0.63,25,10.65,0,0.35,6.22,45.4,6.2,4,251.46,18.32,361.68,10.67
8.35,0,6.81,0,0.47,5.73,64.29,4.15,5,391.6,19.71,461.98,6.39
-3.16,0,14.09,1,0.58,6.42,101.53,-0.39,8,449.34,19.56,391.01,18.17
-5.87,0,14.16,0,0.55,5.27,70.39,4.71,1,193.17,22.05,421.03,11.27
11.61,0,14.45,0,0.68,5.94,91.96,2.96,24,371.18,17.72,373.18,24.11
3.07,20,7.61,0,0.44,6.91,32.34,6.01,5,285.8,16.86,365.51,2.4
-9.08,0,9.12,1,0.55,6.53,48.55,5.95,4,421.15,17.69,399.92,7.65
34.32,0,20.77,0,0.82,6.2,106.88,-0.89,24,779.42,17.29,197.45,19.59
-10.68,95,-8.59,0,0.37,6.92,34.56,9.8,4,129.99,16.55,383.18,1.59
-5.79,12.5,9.95,0,0.41,6.03,29.55,7.21,1,297.18,18.58,426.2,10.74
17.65,0,20.53,0,0.6,5.53,47.03,1.04,24,770.12,20.77,400.53,12.11
-5.75,0,19.38,0,0.79,6.75,120.26,3.17,5,480.56,21.61,476.56,3.33
4.5,0,9.73,0,0.59,6.35,87.74,2.68,5,205.58,18.07,332.64,5.76
6.33,0,12.44,0,0.52,6.25,34.88,4.6,5,449.04,18.2,337.14,13.83
-7.03,80,0.89,0,0.37,7.53,34.85,5.99,4,174.49,18.22,273.21,0.62
0.08,22,6.3,0,0.52,7.43,54.84,3.33,5,456.8,17.17,369.03,5.83
12.77,0,25.62,0,0.79,5.68,102.06,0.85,24,691.64,18.2,214.25,16.38
5.56,0,16.98,0,0.61,5.2,51.53,1.83,5,452.68,20.74,316.09,22.26
7.28,0,23.68,0,0.83,5.95,138.25,-0.3,24,683.3,19.55,357.19,25.56
17.01,0,22.98,0,0.68,5.61,91.55,1.32,24,738.97,23.29,278.99,26.29
19.42,0,21.37,0,0.8,5.01,117.56,1.69,24,790.39,19.56,225.85,31.62
7.31,0,14.25,0,0.63,6.46,89.2,2.25,7,387.92,16.86,340.62,13.85
0.34,20,3.34,0,0.44,7.42,58.87,4.56,5,332.08,20.46,312.89,4.26
-0.44,22,2.28,0,0.58,6.12,56.3,4.95,5,313.06,18.53,393.53,10.49
10.19,0,12.04,0,0.58,5.86,102.66,4.11,24,626.33,21.61,293.09,24.23
-8.23,0,13.04,1,0.63,6.79,86.24,1.98,5,261.29,14.17,391.33,9
7.25,0,10.81,0,0.6,6.66,79.61,3.07,5,269.31,19.59,396.38,19.35
-0.21,0,2.27,1,0.6,6.88,79.83,5.36,4,272.27,16.86,345.55,0.86
9.43,0,9.51,0,0.66,6.07,90.43,2.43,8,456,19.12,319.49,17.74
23.14,0,14.5,0,0.75,6.49,110.77,1.92,24,624.23,22.03,263.44,16.06
9.29,0,13.48,0,0.66,6.18,103.93,0.96,24,420.78,15.66,203.4,13.68
5.46,18,4.1,0,0.62,7.29,64.34,5.56,5,388.66,14.89,469.68,9.55
-2.71,75,4.06,0,0.3,6.67,42.92,7.51,3,78.71,15.32,395.6,6.25
-0.18,0,8.62,0,0.43,6.15,102.56,4.41,1,161.07,18.36,285.43,18
17.44,0,15.25,0,0.72,6.23,117.87,1.12,24,627.97,16.91,246.55,10.5
19.31,0,19.73,0,0.66,6,86.5,4.19,24,633.39,18.84,382.4,14.16
3.37,20,0.09,0,0.46,6.11,45.41,4.89,5,339.9,16.77,258.25,14.15
12.49,0,12.15,0,0.45,4.9,57.85,4.79,4,308.5,19.49,307.39,14.68
5.23,0,15.73,1,0.6,5.61,73.99,2.39,24,375.53,18.56,363.89,16.43
-6.71,0,6.96,0,0.4,5.18,45.35,5.03,3,213.93,20.2,355.76,11.35
-10.59,20,8.7,1,0.62,6.64,65.3,2.5,4,328.6,16.86,526.92,2.82
6.68,12.5,5.27,1,0.46,6.64,17.93,3.07,24,451.1,19.27,373.7,11.26
9.29,0,6.96,0,0.65,6.6,65.12,4.96,4,544.83,18.87,287.4,18.51
-3.46,0,10.38,0,0.57,6.38,57.46,3.91,3,137.1,20.06,430.25,5.37
-5.19,0,7.83,0,0.51,5.46,62.54,6.33,3,188.56,20.43,433.02,5.51
9.9,0,25.71,0,0.6,5.73,132.93,-0.49,5,660.69,19.25,276.61,22.35
11.39,0,15.64,0,0.54,5.75,77,1.24,6,490.9,20.67,598.75,18.01
-3.89,0,9.2,0,0.41,5.7,72.91,4.95,2,165.96,19.95,527.8,13.71
-12.58,0,12.19,0,0.53,5.73,73.08,4.39,2,337.66,18.11,419.2,15.18
-1.51,0,3.93,0,0.43,6.36,52.25,7.21,3,223.39,19.88,464.87,5.66
-2.15,0,11.43,0,0.54,6.97,77.89,2.87,4,388.57,18.08,418.04,7.86
2.19,0,6.67,0,0.53,6.04,72.45,3.72,24,559.88,17.62,328.51,15.03
-7.64,0,3.22,0,0.5,6.19,94.78,1.28,4,212.58,20.72,404.48,15.36
10.29,20,1.99,0,0.44,7.14,59.72,6.14,6,463.38,19.87,374.18,8.98
-4.49,0,17.95,0,0.45,6.19,68.83,3.1,3,454.05,19.74,440.56,7.3
-8.25,0,7.73,0,0.42,6.11,51.95,4.04,2,189.27,21.37,379.76,12.51
-1.25,82.5,-0.3,0,0.36,7.12,28.86,6.51,4,264.99,17.19,394.81,-3.48
1.27,0,13.49,0,0.58,6.11,102.4,1.48,24,538.57,18.72,369.45,18.1
-0.91,0,13.64,0,0.61,6.88,75.28,3.52,5,572.74,17.95,400.78,-1.97
5.16,0,16.77,0,0.65,6.53,88.15,0.74,5,609.14,18.11,387.31,17.94
0.72,0,13.64,0,0.69,6.46,101.04,0.71,6,369.5,20.29,188.63,24.59
-2.53,0,10.36,0,0.59,6.64,90.21,1.22,4,330.68,16.11,254.3,13.64
0.03,40,1.87,0,0.53,5.99,37.82,5.64,5,450.13,18.22,331.59,10.95
-0.16,52.5,-2.37,0,0.43,7.66,-1.44,8.44,4,309.3,17.33,267.18,-3.42
1.44,0,7.91,0,0.49,6.65,84.63,6.17,2,264.76,16.91,405.74,4.97
15.5,0,19.9,0,0.63,6.42,96.97,2.25,24,757.46,23.97,286.68,6.87
5.14,25,5.92,0,0.54,6.34,48.69,5.2,6,551.75,16.72,328,0.68
17.35,0,30.3,0,0.82,6.56,92.91,2.4,24,975.78,23.94,177.19,23.6
16.63,0,15.32,0,0.61,6.41,107.31,1.53,24,553.98,17.87,394.72,22.6
9.12,0,9.15,0,0.5,6.7,66.49,6.4,5,595.38,19.97,409.38,18.54
5.63,0,21.97,0,0.69,4.93,89.42,3.89,24,769.91,19.62,436.79,21.76
13.11,0,4.48,0,0.53,6.12,64.91,7.04,24,434.3,20.85,405.75,10.37
-5.73,21,5.97,0,0.47,7.01,34.12,6.96,4,180.03,14.92,408.45,3.5
10.88,0,20.58,0,0.82,5.69,144.01,0.98,24,609.66,19.8,220.41,28.14
11.69,20,1.11,0,0.39,6.97,5.13,6.32,7,485.42,20.35,349.07,9.23
13.64,0,24.79,0,0.72,5.02,91.99,1.72,24,737.96,19.67,298.76,27.18
5.55,0,23.01,1,0.78,5.79,105.37,-0.69,24,519.02,20.04,387.32,18.23
-6.47,80,0.03,0,0.27,6.74,69.24,6.65,3,160.11,18.55,443.97,4.2
4.54,0,9.2,0,0.46,6.16,45.33,9.27,5,472.3,23.35,303.65,10.26
5.66,0,3.88,0,0.6,5.5,92.88,4.33,24,370.05,20.86,430.96,20.02
7.68,0,8.82,0,0.47,7,78.25,6.02,5,312.16,22.08,242.03,19.33
13.54,0,13.95,0,0.57,5.86,41.5,4.35,24,475.9,18.17,281.73,8.52
17.43,0,7.11,0,0.53,6.73,76.95,4.26,7,284.49,16.23,288.53,11.44
-9.17,0,29.09,1,0.62,5.21,98.7,3.98,4,455.83,20.38,230.01,20.16
16.32,0,18.4,0,0.71,4.95,106.45,0.4,8,480.3,20.68,416.29,24.29
8.1,0,11.22,0,0.64,5.46,88.96,3.19,8,509.47,19.64,258.66,27.64
-0.52,0,10.14,0,0.54,6.06,45.1,7.02,7,360.51,18.45,229.24,14.57
4.63,0,8.29,0,0.6,6.98,97.93,3.34,7,312.22,17.13,262.05,10.62
0.17,20,12.35,0,0.52,6.83,63.14,1.99,8,428.35,17.74,505.62,8.01
-20.74,70,4.13,0,0.4,6.62,44.83,3.87,1,-46.95,16.08,506.85,5
1.89,0,6.5,0,0.57,6.65,92.98,2.47,5,283.46,17.87,275.97,14.01
5.28,0,13.76,0,0.51,5.97,74.86,3.61,8,534.04,19.83,261.26,11.64
15.53,0,3.47,0,0.51,6.6,67.3,2.88,8,197.72,14.03,284.48,20.57
9.22,0,11.73,1,0.56,5.53,81.06,3.13,24,347.29,16.16,269.53,11.24
6.47,0,17.5,0,0.56,6.49,86.1,0.48,3,293.09,19.08,365.23,15.54
8.67,0,8.06,0,0.57,7.42,97.2,4.34,6,493.25,15.92,376.15,5.73
22.73,0,21.03,0,0.77,4.87,105.27,2.48,24,842.96,22.74,14.45,27.47
12.95,0,18.93,0,0.73,6.46,105.17,2.69,24,672.55,19.67,273.12,10.98
-5.02,28,-2.01,0,0.44,5.22,19.3,7.18,2,107.18,16.9,454.38,4.98
-4.31,75,4.86,0,0.51,7.53,72.37,1.9,5,159.42,12.99,403.22,2.6
10.94,0,16.67,0,0.58,5.64,96.95,3.14,24,541.43,20.19,326.96,19.7
2.93,0,6.65,0,0.56,6.07,127.17,3.14,4,262.77,18.66,267.95,24.62
-4.27,0,12.22,0,0.42,6.42,65.51,4.62,5,501.91,23.5,426.34,9.38
2.97,0,7.56,0,0.46,5.98,47.9,3.16,5,291.9,20.22,438,14.58
2.54,0,11.39,0,0.63,5.77,87.78,3.18,4,424.51,18.99,423.46,14.56
0.46,0,20.25,0,0.65,4.72,84.27,2.1,6,720.53,20.6,257.82,26.21
3.67,0,16.43,0,0.62,6.19,77.97,2.67,4,225.01,18.01,446.72,19.35
9.94,0,13.26,0,0.68,5.42,112.21,2.69,24,584.67,20.92,320.2,15.89
1.14,22,1.82,0,0.42,7.16,25.65,7.28,5,366.83,19.95,342.8,14.17
-11.46,90,-1.08,0,0.3,6.83,13.32,7.41,3,89.14,18.08,337.65,-1.34
5.99,0,10.62,0,0.54,5.71,78.23,3.33,5,411.65,18.67,372.61,11.34
6.45,0,10.36,0,0.62,6.24,82.14,2.53,7,436.05,15.34,207.25,21.05
-2.97,0,1.3,0,0.56,6.69,76.01,5.77,4,296.39,16.81,253.94,12.13
8.25,0,11.33,0,0.4,6.78,57.52,6.93,5,458.56,19.18,369.76,11.47
-3.67,45,4.28,0,0.42,7.83,13.26,7.46,4,177.09,17.08,376.46,4.91
7.01,0,8.98,0,0.57,7.28,48.12,5.17,4,314.96,17.2,374.55,8.39
-2.91,0,15.53,0,0.63,5.96,87.3,3.1,4,402.33,17.88,458.83,14.99
11.06,0,7.32,0,0.47,7.01,42.44,4.99,5,330.4,20.49,403.81,9.07
-6.65,0,12.9,0,0.51,6.21,56.23,5.26,4,348.57,20.72,367.01,12.95
0.3,0,3.83,0,0.47,6.81,22.69,6.5,3,244.5,16.04,389.5,9.65
1.54,0,24.81,1,0.71,6.57,107.84,2.16,24,555.43,18.85,279.18,11.92
-14.51,0,20.19,0,0.67,6.15,73.71,3.6,4,388.57,17.61,464.77,9.77
-12.45,35,8.57,0,0.42,6.28,35.69,5.48,4,216.89,17.47,493.13,9.79
-12.89,0,3.44,0,0.62,5.57,103.42,4.37,3,135.85,17.18,423.36,8.52
5.78,0,14.94,0,0.64,5.76,71.35,3.19,7,576.83,19.49,393.13,26.38
10.98,0,17.09,0,0.54,5.08,61.76,4.23,7,561.85,19.89,279.05,23.41
11.12,0,1.13,0,0.56,7.12,61.67,6.45,5,444,20.4,253.97,7.83
9.02,0,7.35,0,0.55,6.4,66.05,3.11,24,644.08,19.29,362.36,13.54
15.54,0,8.47,0,0.45,6.2,62.35,5.92,24,483.12,19.1,200.94,11.03
4.49,0,10.96,0,0.56,6.31,79.6,4,5,354.64,21.66,329.32,15.65
1.21,0,15.03,0,0.67,6,149.27,1.36,6,373.61,19.92,238.01,24.68
2.25,0,7.9,0,0.59,6.12,81.97,1.89,5,369.07,20.01,298.26,14.03
4.67,0,11.17,0,0.47,6.59,61.29,4.65,4,427.85,20.1,342.1,15.29
19.35,0,17.62,0,0.58,6.11,95.95,0.28,24,819.21,22.5,278.77,18.35
15.18,0,14.93,0,0.56,6.24,50.59,3.64,24,609.33,20.08,209.58,22.54
3.28,0,13.67,0,0.49,6.11,63.3,4.21,4,428.44,21.48,347.82,15.81
7.2,20,8.58,0,0.49,8.17,75.47,5.57,24,547.71,16.91,325.49,8.25
6.67,0,14.65,0,0.56,6.63,60.82,4.17,8,416.46,16.41,357.42,6.84
-4.3,40,-0.7,0,0.37,6.65,5.45,8.05,2,8.33,16.1,482.32,1.87
12.09,0,20.43,0,0.83,6.83,124.34,1.1,24,771.88,18.62,281.17,19.46
6.55,0,-2.92,0,0.45,7.89,39.72,6.02,4,190.39,19.04,333.56,13.4
1.22,80,4.1,0,0.46,7.31,49.82,3.43,6,399.32,15.18,439.05,-0.95
17.86,0,12.94,0,0.75,5.73,104.45,3.13,24,708.99,19.72,133.61,22.02
6.54,12.5,14.83,0,0.48,5.66,60.72,4.72,8,502.83,19.79,361.82,13.63
-5.67,90,-0.31,0,0.41,7.63,10.61,6.94,2,39.64,15.9,512.61,-6.16
2.08,0,16.71,0,0.49,6.4,61.33,3.13,5,451.5,18.27,333.08,19.54
-5.5,60,2.84,0,0.49,6.77,42.2,5.32,3,200.8,14.02,435.1,4.32
-6.04,20,5.4,0,0.61,6.79,47.89,5.58,8,317.86,14.15,240.51,13.3
-5.42,20,7.94,0,0.47,6.49,44.79,4.52,2,267.83,16.01,397.44,7.75
15.65,0,22.63,0,0.62,6.06,117.98,-0.32,24,746.84,22.11,257.95,23.33
2.35,0,8.51,0,0.39,6.08,33.63,5.88,5,398.55,21.35,429.13,14.94
0.75,21,7.08,0,0.54,6.24,78.17,3.78,24,326.06,17.51,237.06,13.53
-5.78,80,2.8,0,0.3,7.24,17.56,5.79,4,159.83,16.12,307.71,-1.53
-7.83,80,-0.08,0,0.35,6.57,26.18,6.94,3,227.23,16.62,431.86,9.68
5.25,0,3.65,0,0.57,6.13,58.68,5.27,5,259.31,18.39,416.84,8.3
3.18,0,11.51,0,0.55,7.41,73.59,3.6,5,330.44,18.12,392.86,16.76
11.97,0,10.53,0,0.62,6.2,94.6,2.81,24,472.64,16.83,262.71,13.28
7.03,0,5.42,0,0.47,6.94,31.67,1.3,4,271.34,13.25,293.26,4.23
14.57,0,21.24,0,0.76,6.24,90.09,1.27,24,475.74,20.54,235.39,16.07
-6.23,95,-4.19,0,0.3,7.94,34.04,5.53,2,53.32,13.74,490.48,1.32
13.65,0,24.1,0,0.71,6.15,102.11,0.48,24,673.09,20.07,348.5,23.21
6.94,0,4.16,0,0.51,6.75,27.67,6.08,8,450.69,20.92,293.51,0.14
-6.97,0,15.37,0,0.68,6.27,107.79,1.1,4,345.71,18.08,366.21,22.35
-8.64,0,8.39,0,0.53,6.61,36.36,5.36,4,354.11,19.56,328.27,5.83
-6.03,25,2.98,0,0.46,7.05,36.74,4.79,4,274.47,20.98,440.52,2.81
-0.93,0,12.11,0,0.51,5.29,32.85,7.12,8,407.55,19.34,379.04,11.33
-7.49,80,1.1,0,0.44,6.51,6.52,7.97,4,187.71,16.96,572.1,-2.63
13.94,0,3.37,0,0.59,6.94,62.97,4.68,5,350.31,15.23,305.95,7.32
2.45,20,1.26,0,0.35,7.7,31.49,7.65,2,147.05,17.33,406.47,0.21
-2.17,0,11.2,0,0.44,6.51,42.5,4.74,4,444.16,19.87,286.94,20.51
7.31,0,3.07,0,0.5,7.19,62.14,5.52,6,373.43,16.99,221.96,9.54
0.59,0,12.51,0,0.6,6.46,90.7,2.81,5,243.19,19.39,252.29,16.93
6.86,0,11.14,0,0.76,5.73,97.71,3.47,5,210.8,17.05,277.31,22.49
18.86,0,15.77,0,0.73,5.75,106.75,0.33,24,770.74,21.39,247.52,26.26
6.13,0,13.77,0,0.5,5.81,59.82,6.39,5,491.34,19.71,282.97,18.45
2.93,0,9.84,1,0.57,6.11,105.69,3,6,515.37,22.8,480.33,13.97
3.05,0,7.68,0,0.42,6.44,21.99,5.92,4,230.21,16.41,273.91,9.32
8.57,0,12.75,0,0.63,4.86,64.93,3.55,4,384.13,18.78,181.91,13.87
6.41,0,9.07,0,0.63,6.02,48.96,5.08,24,545.55,17.69,358.09,12.5
11.86,0,13.43,0,0.58,6.67,88.77,3.96,24,377.61,17.8,365.74,16.44
3.65,0,9.5,0,0.41,5.13,29.65,7.37,1,291.94,23.85,463.97,15.57
20.61,0,13.28,0,0.63,7.04,88.02,0.94,24,537.27,16.8,115.71,13.42
10.13,0,12.23,0,0.59,6.85,79.71,2.06,24,497.47,19.16,195.02,11.3
-16.78,21,10.39,0,0.63,7.11,77,4.17,2,328.64,17.21,498.11,7.25
9.78,0,19.45,0,0.58,5.43,85.05,1.57,5,404.7,18.66,274.87,20.25
-18.98,95,2.3,0,0.34,7.15,32.31,8.21,1,350.64,19.44,470.59,0.76
-2.83,0,12.75,0,0.41,4.9,41.68,5.73,4,295.69,21.67,408.93,13.04
-1.34,0,7.33,0,0.54,5.5,65.14,3.8,5,361.86,22.46,320.19,17.66
2.5,0,29.85,0,0.84,5.05,132.69,1.37,5,598.43,18.66,273.07,24.17
1.33,22,0.58,0,0.43,6.78,46.94,7.72,3,281.78,18.31,446.62,6.63
23.61,0,23.95,0,0.66,5.54,91.51,1.86,24,695.34,20.57,301.38,18.66
14.33,0,7.52,0,0.53,6.19,76.5,4.87,24,446.1,20.64,363.18,13.7
4.3,0,3.19,0,0.42,7.05,33.43,6.24,3,145.62,19.55,484.84,7.95
