CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-7.28,25,1.57,0,0.5,7.06,53.04,4.32,4,121.15,15.46,333.77,2.31,39.1
-0.67,0,4.4,0,0.57,6.73,86.92,1.65,4,428.01,17.81,323.52,10.27,26.47
-5.39,0,17.05,1,0.53,5.21,108.02,2.21,2,339.03,17.35,421.99,19.73,16.67
5.77,0,19.04,0,0.63,6.4,100.45,0.3,24,621.13,20.25,207.49,10.43,20.13
13.65,0,6.31,0,0.39,5.29,48.19,6.57,5,367.62,22.64,288.84,14.48,10.62
7.09,0,18.3,0,0.68,6.26,72.7,3.04,24,467.9,19.46,198.25,5.99,26
1.98,0,17.84,0,0.68,6.93,83.24,1.2,4,448.65,18.67,399.28,13.75,27.27
-15.94,20,9.7,0,0.54,6.31,25.45,5.08,2,296.82,18.28,327.18,5.76,25.17
7.09,0,14.49,0,0.72,6.06,77.24,3.41,4,360.8,16.65,360.44,23.93,16.17
4.41,20,12.8,0,0.57,5.73,57.87,5.63,24,511.39,15.59,299.66,19.83,8.57
2.11,0,10.25,0,0.51,5.45,92.61,5.07,2,352.81,18.9,362.8,14.89,19.27
6.71,0,16.79,0,0.57,5.35,76.47,3.33,5,492.18,20.31,234.23,19.73,12.88
6.79,0,8.04,0,0.56,7.32,67.66,2.13,8,328.58,17.17,348.9,2.67,28.62
1.24,0,11.89,0,0.47,6.48,63.88,3.08,4,449.29,20.06,299,14.41,23.39
-2.84,21,5.8,0,0.38,6.43,52.5,5.04,1,300.78,20.75,346.23,17.55,9.41
-1.14,0,12.83,0,0.52,6.69,74.58,4.5,4,390.21,22.96,475.98,8.39,23.3
7.07,0,17.4,0,0.66,5.75,71.61,3.75,8,495.33,18.84,315.62,16.77,8.14
-0.13,12.5,5.91,0,0.48,7.19,34.97,3.96,5,304.25,21.06,484.04,7.32,34.54
-12.61,12.5,9.91,0,0.59,6.88,52.74,2.18,5,304.96,16.73,265.64,11.18,29.9
-8.13,0,13.58,1,0.55,7.62,48.32,4.29,3,220.84,17.11,462.79,3.93,47.8
2.01,0,14.98,1,0.66,6.05,90.13,3.11,5,436.53,17.06,392.75,19.62,15.9
0.02,0,7.07,0,0.56,6.03,96.63,1.41,4,295.34,20.23,391.88,15.39,20.08
-2.93,0,14.31,0,0.46,6.27,39.23,4.94,2,156.23,20.59,559.51,0.96,23.54
5.72,0,14.66,0,0.78,6.46,74.97,2.97,24,604.59,17.28,331.08,15.3,16.42
-6.35,21,9.25,0,0.4,6.6,28.3,6.92,1,293.34,17.73,428.01,7.88,32.52
13.41,0,19.2,0,0.5,4.34,34.78,6.18,24,489.89,22.65,288.36,12.2,0.68
16.92,0,22.55,0,0.9,6.91,113.29,1.13,24,667.87,14.91,375.13,20.75,21.61
-21.34,95,-2.44,0,0.23,7.48,12.23,7.98,1,141.09,16.38,374.03,3.47,35.28
-5.08,80,-1.65,0,0.39,7.35,43.55,5.85,5,263.6,19.45,350.16,-2.7,33.19
11.12,0,8.31,0,0.54,7.25,35.87,3.28,6,452.62,15.94,324.47,6.91,33.32
7.31,0,15.2,0,0.62,6.52,64.26,3.3,7,653.69,20.56,183.02,11.2,21.42
6.99,0,19.31,0,0.62,5.21,74.26,2.65,7,468.38,20.32,303.62,13.4,8.63
-1.43,0,11.81,0,0.46,6.31,56.36,4.47,2,359.83,18.98,534.59,6.56,32.14
16.4,0,15.19,0,0.64,6.88,84.44,3.46,24,498.49,17.53,323.03,10.19,34.47
17.28,0,19.53,0,0.57,4.96,76.02,5.96,6,537,21.38,375.41,27.74,7.64
-2.33,0,15.9,0,0.58,6.04,117.23,1.99,6,376.3,18.76,340.15,13.19,20.88
2.88,0,15.63,0,0.63,5.19,97.71,2.69,4,467.24,18.87,476.58,14.4,13.82
-0.39,25,2.33,0,0.57,6.09,56.46,4.94,5,313.54,18.55,393.31,10.69,24.11
8.87,0,13.27,0,0.76,6.82,103.59,1.77,24,534.58,18.74,427.4,10.52,24.83
8.1,0,12.88,0,0.56,6.29,91.71,1.55,4,419.09,17.47,426.47,9.07,26.55
6.38,0,23.22,0,0.68,7.18,67.24,2.9,24,685.23,18.87,124.69,7.61,29.24
13.51,0,19.24,0,0.64,5.57,72.94,2.36,5,506.47,17.66,242.45,12.66,12.74
-0.61,25,4.34,0,0.49,5.93,52.48,5.51,5,229.28,15.33,427.83,23.77,24.29
6.84,0,8.98,0,0.45,6.69,39.05,5.2,24,342.99,19.26,480.15,1.48,37.35
-5.92,20,8.25,0,0.4,6.37,72.52,2.5,2,332.35,20.32,479.14,8.97,31.77
8.84,0,8.83,0,0.62,6.26,126.44,2.8,8,441.8,18.68,341.99,24.39,16.83
-13.12,22,9.27,0,0.49,6.57,60.13,4.94,2,372.16,22.89,449.9,0.76,16.23
17.44,0,23.77,0,0.71,4.68,85.58,3.76,24,705.8,21.21,213.63,28.3,1.2
3,0,24.49,0,0.83,6.72,77.12,1.48,5,684.92,17.82,433.36,11.73,25.91
-4.21,20,10.49,0,0.53,7.84,46.62,3.74,3,331.16,16.55,329.14,1.56,34.21
12.29,0,11.86,0,0.43,5.31,57.45,4.58,4,307.31,19,307.91,13.32,23.3
-0.27,0,22.38,0,0.49,6.45,59.83,5.87,4,425.81,18.6,409.6,7.83,26.7
6.08,0,8.33,0,0.54,6.39,50.66,3.37,24,372.16,19.15,242.34,6.13,23.41
-0.23,22,1.69,0,0.52,8.29,44.69,4.22,5,191,16.43,437.99,-3.08,50.62
-2.02,60,2.71,0,0.63,7.13,81.68,4.47,7,453.73,13.49,192.76,9.29,26.05
5.23,0,5.83,0,0.43,5.93,38.68,6.64,3,138.93,19.82,371.98,12.92,23.39
7.06,0,13.92,0,0.58,6.99,56.05,3.43,4,495.92,18.33,290.52,3.36,28.01
14.17,0,4.71,0,0.48,5.41,66.12,7.45,24,367.02,19.2,328.94,22.3,14.41
-17.56,70,11.63,0,0.55,7.19,88.74,4.1,4,448.75,18.45,360.21,6.17,22.62
6.7,0,22.89,0,0.58,6.19,85.02,3.02,5,324.2,20.32,413.15,12.95,14.26
17.2,0,17.56,0,0.54,6.35,86.4,2.63,24,516.27,19.85,236.01,16.32,16.59
17.07,0,19.63,0,0.66,6.21,86.73,1.5,24,704.48,18.99,229.79,23.37,19.21
-1.73,0,10.12,0,0.56,5.37,79.94,4.44,3,304.89,18.5,368.2,17.37,16.18
2.74,12.5,7.33,0,0.54,5.62,73.72,3.92,24,563.83,18.33,326.68,17.6,12.29
10.39,0,19.63,0,0.64,6.49,39.71,4.13,5,681.28,20.8,384.68,17.42,17.95
-7.59,0,8.91,0,0.61,6.92,60.61,4.39,5,464.04,16.81,274.02,17.42,31.04
-8.44,25,5.66,0,0.53,5.19,65.24,5.65,4,218.23,16.4,437.08,13,19.42
14.25,0,16.48,0,0.67,5.24,126.24,1.13,24,476.71,20.86,262.73,19.28,10.35
12.07,0,23.07,0,0.8,5.72,101.15,-1.17,24,753.84,19.39,273.59,23.5,13.16
11.54,0,14.5,0,0.67,6.61,81.12,1.56,5,425.24,16.21,316.66,11.88,24.25
3.2,0,14.59,0,0.61,4.14,55.5,3.98,4,341.59,16.14,442.14,15.19,13.38
-10.61,90,-1.42,0,0.31,6.81,20.49,6.43,5,213.49,18.91,488.17,-3.94,38.59
2.43,12.5,4.44,0,0.46,6.63,63.33,3.43,8,478.1,20.47,212.96,10.15,17.33
-10.59,33,1.63,0,0.4,5.38,5.57,7.51,1,156.79,17.06,450.97,5.89,26.99
7.05,0,17.14,0,0.58,5.01,110.34,3.3,4,560.51,20.36,283.4,21.57,6.23
-13.38,80,3.55,0,0.43,6.07,43.9,7.77,4,150.86,16.12,356.17,10.9,17.52
15.64,0,20.11,0,0.63,6.23,97.22,2.38,24,758.11,24.29,286.39,7.95,17.08
1.65,0,4.15,0,0.59,5.58,67.62,4.28,5,271.5,18.39,186.06,13.34,13.26
5.42,33,2.54,1,0.4,7,80.48,8.23,5,212.23,17.33,492.63,15.86,22.9
-3.29,0,23.12,1,0.81,5.95,103.34,0.25,6,578.61,20.41,327.03,13.16,15.84
1.14,34,5.36,0,0.4,6.6,62.08,6.07,5,263.64,17.34,407.22,18.45,18.27
-7.15,0,19.31,1,0.74,5.48,105.88,2.66,5,299.85,15.67,355.87,21.03,17.56
5.78,0,16.79,0,0.48,6.14,67.61,3.19,5,519.09,21.48,370.48,17.4,13.74
13.11,0,6.12,0,0.52,5.95,65.55,3.38,6,418.96,17.17,360.16,22.42,24.07
21.14,0,14.48,0,0.6,6.58,82.31,0.89,24,506.6,21.36,106.62,16.63,12.76
4.83,0,9.11,0,0.53,7.39,84.14,2.04,5,311.15,16.22,380.35,7.04,39.63
2.37,0,25.19,0,0.78,6.59,134.02,-1.12,5,565.12,16.94,453.71,21.32,21.68
16.36,0,17.36,1,0.7,6.62,87.83,1.48,24,650.14,17.75,199.31,22.75,18.74
-4.31,75,4.99,0,0.59,6.35,62.28,3.62,24,355.41,19.09,560.25,6.99,25.37
5.3,0,3.44,1,0.59,5.85,92.14,4.13,24,367.89,20.29,431.98,18.12,25.02
13.79,0,22.8,0,0.84,5.67,137.84,0.37,24,758.58,18.33,388.26,29.82,6.9
1.41,80,4.84,0,0.36,6.56,62.08,5.5,4,225.58,15.98,573.7,10.13,26.4
-7.39,0,10.37,0,0.57,6.4,45.66,3.39,3,330.57,13.19,370.05,21.95,31.63
-2.6,0,22.97,1,0.78,6.47,102.91,-0.88,24,645.23,18.27,361.96,11.79,28.54
-5.69,40,5.98,0,0.5,6.7,83.39,5.43,4,350.76,15.69,378.9,14.14,23.02
6.92,0,16.68,0,0.63,5.31,124.82,0.59,5,461.52,22.37,470.53,19.19,12.82
9.25,22,1.67,0,0.35,6.76,54.87,5.73,4,141.35,16.29,444.6,14.58,27.65
9.17,0,6.95,0,0.56,6.98,84.74,3.78,5,286.13,18.46,356.89,3.66,34.34
12.43,0,25.17,0,0.72,5.34,108.2,0.86,5,496.58,21.19,194.64,25.59,-3.47
8.23,0,16.45,0,0.59,5.95,76.9,3.98,24,610.8,18.05,380.32,10.49,22.31
-3.84,0,13.3,1,0.62,5.95,87.6,2.12,5,437.35,17.79,404.44,17.99,15.31
2.9,0,20.91,0,0.58,7,100.53,1.66,5,583.25,15.15,185.89,9.14,33.27
8.8,0,11.25,1,0.55,5.85,79.98,3.03,24,343.87,15.71,271.11,9.44,30.14
2.37,0,15.59,0,0.5,6.42,38.48,2.14,5,488.74,18.65,375.24,14.08,20.39
-6.52,55,9.06,0,0.48,7.02,40.02,6.07,4,441.69,15.39,383.75,8.06,20.94
9.98,0,13.91,0,0.68,6.47,128.16,2.56,4,535.46,20.48,221.33,23.01,6.89
-4.95,0,16,0,0.61,6.79,67.34,3.05,3,422.34,15.4,284.09,12.53,17.13
-3.78,0,23.45,0,0.77,5.6,109.72,1.04,8,759.44,20.3,299.46,25.41,16.47
9.79,0,14.86,0,0.59,6.42,43.53,4.72,5,420.29,19.95,386.4,7.62,28.71
6.89,0,12.99,0,0.56,6.1,67.66,3.72,3,322.57,16.07,389.17,23.85,23.61
-3.87,0,9.78,0,0.63,5.49,77.2,3.71,4,208.65,18.49,365.69,14.48,21.67
12.09,0,17.05,0,0.52,6.23,77.75,2.32,6,462.73,17.61,207.25,20.1,13.3
15.14,0,17.73,0,0.53,5.83,57.5,3,8,550.58,19.35,309.61,15.86,18.19
3.59,55,-1.9,0,0.42,5.86,33.89,4.94,4,273.34,16.56,530.98,7.13,24.99
15.32,0,11.39,1,0.59,7.17,95.57,2.86,24,486.59,15.71,345.49,16.4,30.94
10.08,0,13.43,0,0.67,5.36,112.56,2.72,24,585.75,21.07,319.71,16.56,15.73
5.03,0,14.11,1,0.69,5.91,89.75,2.51,7,532.77,18.22,447.81,8.49,30.55
0.38,0,6.71,0,0.69,6.12,79.58,1.49,4,259.53,16.36,413.79,13.59,23.96
0.23,40,1.55,0,0.41,6.73,57.49,5.05,5,320.08,16.69,344.3,3.43,35.39
-10.14,30,6.97,0,0.53,6.7,21.34,3.82,5,288.95,14.83,211.34,5.7,31.58
6.48,0,15.22,0,0.5,6.5,41.02,4.29,24,558.45,19.3,389.73,3.67,30.65
4.69,12.5,12.56,0,0.54,5.32,78.72,3.6,8,532.7,17.23,351.02,29.97,3.58
1.48,45,1.56,0,0.45,6.97,72.58,2.86,5,242,17.51,516.63,5.22,32.85
7.04,0,13.02,0,0.58,5.86,80.17,3.99,5,555.03,18.97,400.37,15.15,22.02
10.18,0,22.61,0,0.73,5.53,86.32,2.29,24,635.97,18.53,318.37,16.34,15.17
9.35,21,5.07,0,0.43,7.42,41.14,6.22,5,327.71,18.48,392.56,4.91,35.16
4.12,17.5,9.16,0,0.44,6.49,32.63,6.49,4,446.54,17.6,281,6.15,24.21
10.54,0,13.37,0,0.64,6.1,81.91,4.51,24,465.32,20.72,338.53,14.54,11.93
-13.83,0,20.96,0,0.68,5.6,75.3,3.84,4,393.48,18.45,462.48,12.89,15.11
9.24,0,17.97,0,0.48,5.42,69.03,3.89,5,426.54,21.71,422.36,10.15,10.42
-1.03,0,12.87,0,0.71,6.51,91.53,0.91,5,471.97,17.99,309.22,15.92,19.28
2.43,0,28.24,0,0.81,5.46,126.43,-0.19,24,793.25,21.89,347.29,26.88,6.07
0.46,0,12.88,0,0.77,6.8,82.54,2.06,24,579.08,14.75,128.58,14.49,21.18
10.64,0,16.72,0,0.64,6.79,47.86,2.61,5,468.91,14.97,305.24,9.9,23.97
-3.67,22,4.52,1,0.53,6.71,54.19,6.55,5,294.83,17.19,373.84,6.91,24.77
13.12,0,12.85,0,0.57,5.82,74.96,2.32,6,415.28,19.02,400.27,15.71,24.01
-6.21,0,12,0,0.51,6.02,58.06,3.61,1,164.96,17.48,673.58,8.32,34.32
-0.6,12.5,3.45,0,0.41,6.1,41.82,4.48,4,370.96,19.2,240.56,12.09,19.89
11.29,0,10.94,0,0.62,6.5,68.34,3.18,24,385.64,18.6,232.61,13.05,26.62
-8.63,80,4.11,1,0.34,6.71,20.87,6.54,1,116.18,16.47,608.74,8.24,29.89
1.87,0,16.55,0,0.62,6.41,99.11,-0.16,6,502.57,19.89,368.92,6.77,33.44
3.2,0,13.52,0,0.49,6.33,63.15,4.08,4,428.04,21.19,348,15.04,20.64
8.93,0,16.75,0,0.76,6.4,107.99,1.3,5,320.73,17.6,284.15,17.48,26.72
10.78,0,16.97,0,0.64,6.76,84.95,2.42,4,408.45,16.42,405.39,8.37,27.9
3.79,25,6.59,0,0.49,6.26,14.01,6.34,5,398.45,18.22,347.88,7.09,19.68
19.9,0,20.5,0,0.63,7.17,65.54,2.5,24,619.98,17,166.51,15.32,16.17
32.12,0,14.9,0,0.63,6.57,69.87,4.41,24,655.97,18.21,271.08,16.69,17.25
-12.17,82.5,-2.54,0,0.34,7.52,-7.34,8.44,1,44.72,15.06,514.92,-4.51,40.77
-0.04,34,5.07,0,0.31,7.01,44.11,7.96,4,27.19,16.24,357.55,2.74,33.84
7.23,0,11.84,0,0.42,6.9,54.41,4.69,4,446.86,19.67,258.94,9.67,28.1
-3.75,0,22.36,0,0.74,7.08,108.1,2.64,6,612.33,18.4,289.77,12.21,21.47
-0.14,0,13.19,0,0.53,5.71,31.34,4,4,333.04,18.48,388.85,7.28,14.37
10.86,0,7.62,0,0.5,6.59,74.4,5.11,5,510.72,23.71,281.36,9.08,10.6
5.25,0,7.7,0,0.51,6.15,57.8,3.84,4,215.35,16.17,304.59,11.72,24.4
15.6,0,22.56,0,0.62,6.2,117.87,-0.38,24,746.57,21.96,258.07,22.91,12.61
13.51,0,19.96,0,0.64,5.63,89.35,1.64,24,639.62,21.02,418.43,13.31,24.46
-3.91,0,-0.72,0,0.63,6.16,113.77,2.31,3,173.75,17.31,364.88,22.33,24.98
-1.15,80,0.42,0,0.31,7.29,8.86,7.11,1,157.97,15,460.07,-3.24,39.5
7.08,20,8.33,0,0.59,6.34,66.6,4.44,24,545.46,15.81,268.98,9.02,26.81
-4.17,0,11.56,1,0.53,7.38,74.67,2.52,5,392.79,17.48,453.12,5.04,44.55
1.06,0,10.21,0,0.5,7,81.91,4.26,4,259.66,18.95,401.58,6.23,32.88
9.95,0,17.84,0,0.65,4.81,103.21,4.01,5,533.75,21.39,313.72,19.3,-5.77
-10.06,90,-6.65,0,0.32,7.6,0.98,9.9,2,252.4,17.79,427.11,-1.01,37.85
12.42,0,11.32,0,0.54,6.29,61.48,5.31,8,677.79,20.37,234.5,17.31,3.52
-3.8,20,12.23,0,0.6,6.48,74.38,1.79,5,444.38,17.52,472.11,19,21.49
9.33,0,17.03,0,0.57,6.11,96.97,2.08,4,488.09,19.92,365.59,24.72,11.09
-8.15,0,12.46,0,0.65,6.65,91.55,4.42,4,472.01,17.22,335.61,11.58,32.59
-8.22,0,8.86,0,0.53,6.31,37.29,5.49,4,356.93,20.05,326.96,7.71,19.85
9.39,0,11.67,0,0.61,5.94,63.88,3.6,24,712.71,21.09,243.89,13.29,19.08
12.95,0,19.79,0,0.64,7.03,115.26,1.37,24,481.86,19.44,320.9,15.43,20.25
-1.02,85,0.69,0,0.31,7.5,33.86,6.28,24,263.56,19.79,267.55,0.56,29.62
15.97,0,13.2,0,0.53,5.92,45.11,3.54,8,570.36,18.8,328.15,11.25,17.25
19.95,0,22.24,0,0.68,6.67,89.42,-0.04,24,638.89,19.35,272.2,14.1,28.62
-11.57,0,6.1,0,0.55,5.92,96.92,3.99,2,162.05,16.94,419.43,15.18,24.78
2.77,22,3.16,0,0.43,5.92,47.35,5.7,4,191.08,17.8,455.82,13.8,24.04
18.78,0,17.01,0,0.62,6.43,29.4,4.42,24,667.96,19.63,445.89,13.94,25.87
-8.05,35,1.13,0,0.43,7.04,17.38,7.45,5,400.29,17.62,283.28,-1.18,41.98
6.13,0,15.2,0,0.58,6.34,83.59,3.05,5,337.44,21.71,289.76,15.86,22.24
-0.4,22,10.57,0,0.55,7.4,70.59,3.17,24,456.46,17.28,421.5,18.02,32.31
0.64,0,12.48,0,0.6,6.62,68.93,1.59,5,389.31,15.62,321.72,5.46,28.96
8.63,0,12.79,0,0.61,4.96,65.12,3.48,4,384.69,18.7,181.63,13.92,18.37
-6.61,0,7.74,0,0.53,5.68,69.69,6.33,4,262.7,18.16,384.75,15.67,25.83
5.86,0,13.66,0,0.56,7.32,99.26,1.83,6,418.83,18.51,409.86,8.93,29.94
0.29,45,9.5,0,0.42,5.39,61.28,7.86,24,581.89,22.23,416.23,11.17,18.65
8.48,0,13.09,0,0.54,6.39,52.31,1.18,5,466.71,19.38,314.4,10.39,19.74
4.9,0,1.72,0,0.37,6.8,19.62,5.13,2,271.42,17.15,258.46,12.83,31.14
18.73,0,18.15,0,0.63,7.06,79.39,3.21,24,707.75,20.78,134.37,14.87,18.25
-10.8,85,-2.95,0,0.32,7.79,-19.54,8.68,1,162.51,15.03,466.21,-7.39,45.46
-9.04,20,9.27,0,0.51,6.16,59.85,6.13,3,184.27,13.87,319.37,12.17,24.98
-2.54,22,9.2,0,0.42,6,43.73,4.37,5,308.58,17.6,320.04,14.68,20.39
27.4,0,23.21,0,0.65,6.34,71.13,2.33,24,735,23.69,304.46,24.71,5.87
7.65,0,21.34,0,0.7,5.59,107.72,1.56,24,689.34,17.25,265.08,19.68,20.77
2.25,0,15.83,0,0.46,6.52,58.38,3.87,8,476.96,21.57,367.98,12.56,18.89
13.63,0,6.71,0,0.52,6.73,74.88,4.62,24,441.12,19.78,365.51,10.52,31.18
1.75,0,16.2,0,0.6,6.02,86.41,1.81,5,601.85,20.97,362.52,14.48,23.48
14.01,0,7.21,0,0.54,6.84,31.2,7.07,8,312.43,18.11,270.31,8.74,25.65
7.25,75,0.4,0,0.36,7.99,-7.56,8,4,273.19,18.04,510.24,1.23,35.47
0.49,20,4.61,0,0.44,6.74,48.27,7.29,3,192.52,15.58,306.32,11.24,24.26
8.19,0,16.89,0,0.55,6.24,99.02,2.89,5,642.62,19.79,387.63,15.67,9.83
-0.01,0,0.88,0,0.48,6.28,27.48,5.63,2,176.17,13.48,361.62,10.4,34.05
-4.64,0,9.18,1,0.45,8.08,23.99,2.93,2,194.6,17.9,405.43,1.43,47.01
-4.83,0,13.83,0,0.52,5.93,58.95,4.21,3,407.35,19.36,254.33,9.2,15.9
11.46,0,8.01,0,0.38,7.06,58.61,3.92,6,316.02,20.31,282.34,10.73,24.17
-0.05,0,9.79,0,0.51,7.15,79.47,3.66,4,347.79,19.77,353.22,9.74,21.58
1.32,0,14.37,0,0.49,5.31,69.17,3.85,5,409.8,20.52,461.2,20.14,19.01
-5.73,0,8.57,0,0.52,7.01,48.03,4.97,3,146.85,17.21,393.21,2.4,39.82
12.07,0,3.75,0,0.51,7.56,38.3,5.35,5,399.82,20.41,507.17,6.7,25.9
19.25,0,18.18,0,0.73,5.8,102.15,1.44,24,579.23,17.66,254.02,13.21,15.94
-1.85,0,19.48,0,0.54,6.04,115.17,2.1,4,405.28,19.8,144.03,20.5,20.16
18.26,0,12.93,0,0.47,6.17,58.76,3.22,24,502.96,20.87,414.4,11.87,24.03
11.43,0,14.17,0,0.62,6.49,89.4,1.14,24,391.83,20.44,425.63,14.41,11.39
-7.17,45,4.72,0,0.38,6.12,50.7,4.88,2,320.17,16.29,396.43,12.34,27.83
6.53,0,17.23,0,0.78,5.36,80.64,2.85,5,479.84,19.53,140.33,27.46,5.2
6.72,0,4.06,0,0.46,7.18,18.84,7.07,5,277.03,17.12,240.83,9.16,24.75
19.51,0,9.72,0,0.49,5.79,67.31,5.41,24,516.5,21.74,248.77,14.52,15.85
15.28,0,14.25,0,0.61,6,74.56,2.32,7,503.69,21.36,272.25,15.64,17.34
10.77,0,12.2,0,0.66,5.94,110.11,2.77,5,510.96,20,288.15,23.24,14.25
4.89,0,19.71,0,0.71,6.09,79.26,-0.82,4,449.57,21.5,430.64,9.43,15.58
5.77,20,1.26,0,0.51,5.88,54.7,5.72,5,295.17,18.9,365.47,13.97,11.91
8.88,0,13.41,1,0.57,6.61,127.01,3.21,24,298.68,18.94,338.23,16.33,29.55
11.36,0,10.05,0,0.52,7.01,52.09,3.27,5,285.82,18.35,326.3,10.34,27.52
-3.55,0,15.11,0,0.64,6.07,49.35,5.25,3,478.97,16.04,292.5,8.87,18.98
14.15,0,10.75,0,0.47,5.84,72.6,4.96,24,667.78,21.71,343.82,11.27,12.66
1.95,0,13.62,0,0.51,5.89,69.45,4.75,3,346.16,18.26,169.17,16.13,11.15
-4.48,0,16.83,0,0.61,5.07,90.67,5.39,4,437.3,20.53,208.47,28.29,7.88
-4.92,25,7.86,0,0.52,7.15,55.18,5.39,3,360.36,17.78,528.19,2.41,29.76
20.09,0,15.51,0,0.64,5.55,130.39,1.53,24,706.33,20.34,359.7,22.32,14.56
12.09,0,5.35,0,0.59,6.55,59.31,5.57,4,239.18,18.28,278.22,11.36,24.35
-0.16,52.5,6.14,0,0.43,7.07,17.91,7.06,4,263.78,18.89,426.55,1.86,26.06
17.29,0,9.26,0,0.45,6.57,71.35,4.62,24,573.54,20.42,321.53,19.3,11.1
-7.77,80,-4.27,0,0.19,7.29,10.85,6.56,2,60.81,20.53,362.95,-0.78,35.75
