"","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
"265",9.42,"0",21.8,"0",0.74,6.07,99.02,0.89,"24",619.77,21.21,362.16,25.17
"266",-13.39,"0",7.59,"1",0.59,6.15,39.76,4.02,"1",33.17,15.74,575.23,0.92
"267",6.5,"35",6.12,"0",0.56,5.76,43.55,4.36,"24",488.11,17.54,321.42,17.33
"268",9.21,"0",15.42,"0",0.68,5.15,104.74,1.12,"5",513.46,18.35,262.49,28.82
"269",21.64,"0",12.57,"0",0.47,6.79,73.31,3.78,"24",535.2,20.34,224.85,17.8
"270",14.77,"0",10.75,"0",0.56,6.37,126.94,5.07,"24",483.99,20.67,379.08,19.02
"271",15.67,"0",18.68,"0",0.73,4.57,93.07,-0.53,"24",516.12,22.03,323.27,25.96
"272",5.13,"0",12.23,"0",0.5,6.78,69.8,3.44,"24",448.94,21.47,313.24,6.06
"273",-11.9,"95",-2.71,"0",0.26,6.74,11.76,6.58,"1",102.24,16.14,593.26,-8.46
"274",11.6,"0",26.29,"0",0.71,5.61,107.06,0.4,"5",545.29,16.68,227.73,25.3
"275",8.1,"0",5.99,"0",0.43,7.58,55.91,6.25,"5",421.23,22.2,265.62,4.95
"276",9.25,"0",18.95,"0",0.7,6.47,84.81,1.81,"24",640.84,19.47,171.53,22.56
"277",4.3,"40",7.84,"0",0.49,6.05,54.42,7.01,"5",380.08,14.03,439.93,10.96
"278",2.38,"0",13.71,"1",0.63,5.9,89.57,2.22,"24",476.1,21.21,386.51,14.29
"279",17.94,"0",23.93,"0",0.74,6.06,119.79,-1.04,"24",774.16,18.42,276.87,19.64
"280",-2.21,"0",20.1,"0",0.73,6.28,102.78,1.63,"5",517.25,18.73,384.65,13.9
"281",-7.94,"0",7.63,"0",0.46,6.35,35.52,6.22,"3",409.86,21.51,367.55,8.9
"282",2.6,"21",6.47,"0",0.45,6.16,45.13,6.02,"5",186.6,16.46,227.13,5.45
"283",6.21,"0",6.23,"0",0.42,5.77,64.13,5.54,"5",242.48,18.26,378.01,14.64
"284",11.88,"0",21.84,"0",0.67,5.84,117.93,0.66,"24",505.93,16.51,240.72,17.69
"285",2.18,"75",-2.54,"0",0.51,6.1,50.92,5.7,"5",447.57,17.73,383.5,10.21
"286",-6.04,"30",2.74,"1",0.44,6.75,29.94,6.61,"5",214.63,17.56,367.87,6.28
"287",2.08,"0",17.68,"0",0.63,6.48,72.69,1.29,"4",440.81,18.56,407.48,10.92
"288",10.56,"0",5.2,"0",0.47,7.41,66.4,4.97,"8",433.13,17.89,381.11,12.77
"289",16.97,"0",16.42,"0",0.75,6.18,106.28,1.07,"24",616.87,20.5,292.82,25.54
"290",-15.43,"80",-8.62,"0",0.37,7.96,-9.7,7.3,"1",131.27,16.24,443.24,-10.57
"291",-7.17,"0",5.25,"0",0.39,6.2,58.1,7.13,"4",323.62,20.74,406.63,6.23
"292",-8.97,"22",13.19,"0",0.63,7.15,87.9,3.83,"5",457.64,16.72,441.53,9.64
"293",14.46,"0",13.04,"0",0.72,7.03,83.88,2.26,"24",499.77,17.13,346.98,15.06
"294",4.16,"0",12.54,"0",0.52,6.51,38.11,3.76,"24",525.09,19.9,301.02,10.39
"295",3.48,"0",0.31,"0",0.41,6.14,37.61,7.71,"3",282.32,17.16,271.98,8.56
"296",-4.25,"0",16.24,"0",0.69,6.69,94.27,3.25,"4",385.88,16.71,388.78,5.37
"297",12.15,"0",16.36,"0",0.71,4.55,81.35,2.79,"24",595.04,19.37,389.63,24.21
"298",7.5,"0",7.54,"0",0.63,6.17,111.23,2.52,"5",302.42,19.98,452.17,18.11
"299",-5.06,"22",10.57,"0",0.45,7.16,57.02,4.15,"4",482.94,15.84,408.75,7.28
"300",11.82,"0",6.81,"0",0.33,5.79,34.48,6.01,"5",311.09,20.58,314.6,13.65
"301",3.2,"0",6.38,"0",0.44,6.52,35.15,4.8,"5",271.36,18.86,360.81,5.94
"302",8.97,"0",14.83,"0",0.54,6.19,100.39,3.13,"5",331.81,20.17,344.08,10.77
"303",-4.46,"20",5.86,"0",0.49,5.98,76.46,4.29,"2",-24.87,13.91,373.38,15.02
"304",14.74,"0",26.49,"0",0.83,5.03,115.44,-0.29,"24",699.05,23.72,460.17,22.33
"305",-5.23,"0",9.53,"0",0.53,5.71,79.23,5.54,"3",351.7,20.17,322.07,15.54
"306",-6.4,"0",11.29,"0",0.63,6.72,63.57,2.78,"4",412.19,19.47,353.66,10.55
"307",13.76,"0",21.64,"1",0.78,6.65,105.55,1.99,"24",695.44,18.91,116.78,18.87
"308",3.87,"0",21.05,"0",0.57,5.01,64.27,2.97,"4",502.02,19.45,368.94,20.73
"309",19.62,"0",16.83,"0",0.57,5.92,70.72,3.5,"24",570.98,17.53,144.84,18.56
"310",1.8,"0",10.35,"0",0.63,5.76,55.4,3.5,"4",296.75,18.08,472.91,11.57
"311",-0.55,"0",9.55,"0",0.61,5.67,98.67,4.16,"1",189.75,15.53,324.27,16.49
"312",19.12,"0",12.73,"0",0.6,6.77,91.03,0.42,"8",586.98,18.88,324.24,8.78
"313",12.3,"0",23.18,"0",0.79,6.08,136.77,-0.8,"8",691.35,18.69,194.47,19.09
"314",-8.06,"80",4.54,"0",0.4,6.46,54.3,7.54,"5",217.6,20.05,509.97,1.04
"315",9.58,"0",15.13,"0",0.59,6.76,32.75,5.64,"24",654.37,14.21,385.05,18.46
"316",-2.68,"80",4.17,"1",0.52,7.44,50.84,5.22,"24",239.84,14.82,550.55,3.55
"317",13.38,"0",15.68,"0",0.62,5.97,104.81,2.75,"24",564.95,21.42,274.96,18.03
"318",5.06,"0",8.07,"0",0.5,6.32,56.44,5.56,"5",228.4,17.64,279.46,14.51
"319",13.93,"0",11.57,"0",0.69,5.64,49.98,4.01,"8",531.11,19.75,307.03,16.3
"320",10.06,"33",-1.86,"0",0.37,5.52,34.34,5.99,"5",339.3,19.56,452.89,16.37
"321",-18.03,"82.5",-0.85,"0",0.33,6.62,30.31,7,"4",35.78,18.23,444.18,5.5
"322",-2.42,"0",9.86,"0",0.57,5.99,40.55,6.76,"4",184.27,18.49,464.64,4.27
"323",1.56,"0",16.42,"0",0.62,5.83,56.5,2.06,"2",363.05,18.12,402.9,18.58
"324",0.97,"0",13.71,"0",0.52,5.97,85.28,5.1,"4",383.46,18.53,404.81,14.62
"325",5.42,"0",6.91,"0",0.49,5.92,68.29,5.41,"5",224.53,20.11,339.35,14.38
"326",11.5,"0",4.15,"0",0.58,6.27,84.33,5.66,"24",479.81,19.23,324.02,5.51
"327",18.58,"0",12.17,"0",0.6,7.24,98.18,1.89,"24",620.71,16.32,292.36,15.34
"328",-11.29,"0",15.35,"0",0.59,5.74,77.21,3.31,"1",309.39,18.54,357.97,8.04
"329",-6.15,"0",10.35,"0",0.56,6.58,91.09,3.08,"5",313.24,17.78,456.71,8.61
"330",-1.72,"0",11.65,"0",0.48,6.41,72.66,4.51,"3",238.13,17.1,412.42,14.22
"331",5.55,"21",2.39,"0",0.57,6.59,62.41,5.51,"7",380.1,17.22,318.11,2.14
"332",-6.7,"55",5.37,"0",0.44,6.48,8.69,5.88,"4",219.58,16.71,416.21,6.72
"333",5.74,"0",12.31,"0",0.39,5.42,37.14,4.44,"4",328.77,15.78,273.29,14.03
"334",-10.66,"0",15.55,"0",0.62,6.02,104.87,0.6,"1",205.47,13.25,344.1,6.84
"335",-15.57,"0",15.07,"1",0.65,5.91,59.23,3.14,"3",330.56,16.39,452.87,9.9
"336",8.21,"0",10.52,"0",0.49,6.37,93.59,4.44,"5",201.79,21.81,387.84,9.79
"337",-6.35,"0",14.23,"0",0.52,6.19,71.77,3.11,"4",300.2,14.65,394.73,19.11
"338",-2.59,"0",11.56,"0",0.63,6.52,119.39,2.39,"6",476.23,17.82,370.94,15.55
"339",12.43,"0",16.16,"0",0.61,6.18,109.7,2.26,"24",566.04,19.06,136.16,18.28
"340",0.25,"0",18.99,"1",0.63,6.26,101.43,1.05,"7",655.63,18.16,350.85,11.27
"341",4.92,"0",8.39,"0",0.65,6.34,44.74,5.28,"5",321.95,17.65,422.52,12.85
"342",-5.37,"52.5",6.92,"0",0.46,6.67,24.95,4.21,"4",221.36,17.45,415.79,3.56
"343",-0.48,"0",5.89,"0",0.61,5.86,81.12,4.76,"4",350.31,17.16,391.82,17.52
"344",16.4,"0",5.95,"0",0.56,6.75,101.71,5.15,"24",501.44,19.78,284.23,15.67
"345",-5.71,"40",7.18,"0",0.54,6.14,68.5,5.2,"5",465.26,19.16,389.35,12.91
"346",-15.57,"25",14,"0",0.55,5.99,42.72,4.76,"4",450.42,18.73,434.92,8.97
"347",13.67,"0",12.09,"0",0.58,7.16,87.25,3.55,"24",534.57,19.86,290.06,16.81
"348",-12.45,"12.5",8.85,"0",0.53,6.33,42.17,4.23,"3",244.62,17.73,359.89,2.49
"349",-2.2,"0",17.13,"1",0.71,5.73,92.94,1.81,"24",428.62,21.09,466.02,17.35
"350",17.43,"0",25.3,"0",0.8,4.72,148.12,-0.89,"24",834.61,23.25,208.58,28.02
"351",13.2,"0",7.21,"0",0.5,7.08,61.33,4.4,"6",473.58,20.85,318.66,10.12
"352",7.92,"0",11.2,"1",0.65,6.27,76.81,3.69,"24",602.26,19.51,278.29,10.58
"353",6.67,"12.5",1.36,"0",0.55,6.97,61.91,4.65,"5",198.46,16.54,445.94,12.46
"354",12.55,"0",16.1,"0",0.76,6.37,91.75,3.34,"24",491.21,18.19,294.98,19.31
"355",-12.11,"82.5",5.08,"0",0.5,6.68,30.38,5.33,"4",393.06,16.32,467.72,3.79
"356",2.1,"25",1.37,"0",0.44,6.39,61.89,4.02,"5",202.59,16.22,398.62,12.76
"357",8.7,"0",22.43,"0",0.78,6.44,92.01,1.64,"24",658.57,19.74,250.59,15.71
"358",-2.72,"0",11.41,"0",0.5,5.53,54.4,4.33,"2",298.79,19.43,462.43,13.76
"359",-10.45,"80",-1.39,"0",0.35,6.76,9.09,8.02,"2",57.17,16.9,533.85,4.36
"360",8.53,"0",22.9,"0",0.86,4.72,114.64,-0.35,"24",657.94,21.06,287.95,24.48
"361",7.82,"0",13.37,"0",0.43,6.42,46.74,3.5,"5",277.04,17.8,234.16,17.35
"362",8.51,"0",10.26,"0",0.48,6.72,39.97,4.27,"24",585.12,20.43,414.02,10.71
"363",0.61,"55",2.68,"0",0.37,7.27,47.56,6.3,"5",317.97,18.82,349.14,0.71
"364",-9.24,"75",1.05,"0",0.5,6.73,5.68,6.28,"5",135.21,14.52,406.87,1.01
"365",-3.45,"20",5.94,"0",0.49,6.83,75.69,3.76,"2",387.98,18.77,468.11,10.52
"366",1.12,"0",10.16,"0",0.49,5.3,56.66,6.11,"4",392.48,21.02,422.5,18.27
"367",-1.76,"0",9.12,"0",0.56,6.52,63.28,4.21,"4",247.79,17.72,389.53,15.93
"368",5.73,"0",14.35,"0",0.62,7.14,89.82,3.2,"5",356.01,16.4,304.18,13.13
"369",12.43,"0",7.65,"0",0.49,6.71,63.86,3.83,"8",465.06,17.5,329.8,11.92
"370",21.34,"0",17.03,"0",0.74,5.69,112.18,2.96,"24",668.01,22.43,433.23,19.49
"371",-10.7,"85",0.53,"0",0.46,8.16,34.35,6.06,"3",364.27,15.34,414.82,-10.15
"372",13.13,"0",12.54,"0",0.5,5.87,58.66,2.06,"24",604.95,17.05,406.53,11.4
"373",-3.86,"0",8.77,"0",0.49,5.96,67.8,4.9,"4",205.17,16.45,360.27,13.52
"374",21.42,"0",16.43,"0",0.76,7.12,116.59,0.57,"24",466.76,18.9,183.45,12.32
"375",-4.35,"22",4.4,"1",0.45,6.76,42.52,5.61,"5",388.78,16.93,308.66,4.82
"376",9.6,"0",21.46,"1",0.63,6.48,103.92,-0.39,"24",568.83,19.56,324.57,12.35
"377",-3.33,"0",11.29,"1",0.54,6.15,90.91,5.01,"8",441.99,21.39,322.18,14.76
"378",-11.28,"33",8.99,"0",0.4,6.44,57.24,5.6,"4",287.76,21.77,485.03,17
"379",20.22,"0",12.95,"0",0.64,5.54,108.13,3.46,"24",752.2,22.56,308.81,23.63
"380",-21.76,"12.5",11.55,"0",0.49,6.85,64.09,2.95,"1",173.54,20.44,466.11,7.49
"381",7.08,"0",22.46,"0",0.6,6.14,71.53,3.83,"5",520.01,18.38,284.4,19
"382",-0.12,"0",9.45,"0",0.59,6.07,61.74,3.75,"4",434.48,16.7,373.1,11.59
"383",-4.02,"0",14.65,"0",0.4,5.1,36.14,4.66,"4",356.49,20.59,269.11,14.27
"384",6.3,"25",3.43,"0",0.37,6.29,-0.41,9.36,"4",218.62,17.09,327.64,1.11
"385",-3.7,"0",13.26,"0",0.56,6.7,66.94,1.55,"5",356.82,18.79,239.56,7.07
"386",19.83,"0",19.88,"0",0.73,5.9,120.77,-0.29,"24",423.69,19.4,283.31,20.35
"387",6.71,"0",12,"0",0.51,5.98,61.54,3.56,"5",358.2,20.01,246.24,13.01
"388",-9.49,"34",5.84,"0",0.38,6.73,7.36,9.06,"2",246.76,19.25,372.31,6.95
"389",-11.04,"90",-0.37,"1",0.48,8.26,40.86,6.98,"4",147.99,9.9,453.31,4.74
"390",-4.56,"0",17.79,"0",0.56,4.75,75.69,2.5,"4",394.12,20.77,284.26,19.87
"391",-2.29,"0",13.45,"0",0.67,6.33,93.95,3.31,"4",444.78,16.54,419.61,19.42
"392",5.64,"0",19.18,"0",0.67,6.59,109.24,2.38,"5",463.42,18.77,276.05,14.45
"393",8.47,"0",10.47,"0",0.62,6.07,74.81,2.02,"5",395.74,16.92,288.97,21.24
"394",22.43,"0",14.8,"0",0.61,5.39,101.31,2.68,"24",594.88,17.69,225.54,25.32
"395",4.05,"0",19.71,"0",0.72,5.69,74.16,0.91,"5",451.46,16.46,292.03,13.34
"396",11.84,"0",17.82,"0",0.74,5.9,82.28,3.12,"24",670.32,20.67,327.11,14.28
"397",-0.86,"22",8.25,"0",0.54,6.54,43.17,5.17,"5",319.66,17.15,405.48,6.03
"398",3.03,"0",10.39,"0",0.64,6.73,76.12,3.43,"6",561.83,17.83,334.07,13.29
"399",-9.2,"80",1.45,"0",0.4,6.44,31.25,7.17,"1",70.31,16.16,498.82,6.65
"400",-7.86,"80",-1.27,"0",0.36,7.23,4.51,6.93,"3",208.15,14.92,410.78,5.61
"401",12.68,"0",14.65,"0",0.68,5.25,97.12,2.17,"5",556.87,18.4,230.68,14.72
"402",-2.59,"0",12.31,"0",0.56,5.81,47.79,3.12,"4",302.55,15.92,361.06,14.94
"403",10.24,"0",7.7,"0",0.5,7.05,46.63,4.44,"5",352.97,19.71,385.26,7.27
"404",8.05,"0",15.1,"0",0.66,6.38,94.98,1.67,"5",519.6,19.66,384.09,22.46
"405",18.3,"0",24.53,"0",0.76,6.42,106.78,0.33,"24",760.64,22.39,359.52,22.18
"406",18.37,"0",15.32,"0",0.66,6.2,103.25,1.34,"24",565.23,19.15,273.47,16.6
"407",3.12,"0",14.22,"0",0.69,6.89,78.41,2.32,"24",531.44,17.46,321.24,16.22
"408",3.61,"0",14.57,"0",0.55,5.18,46.35,1.85,"24",500.82,20.44,385.19,10.41
"409",-12.31,"0",13.37,"0",0.58,6.24,81.94,4.16,"3",496.26,18.93,349.94,10.39
"410",-1.06,"0",11.35,"0",0.74,6.59,103.78,2.76,"24",488.12,17.43,375.56,8.26
"411",12.32,"0",15.09,"0",0.75,6.97,106.48,1.32,"24",606.04,17.03,332.56,16.48
"412",7.65,"0",12.15,"0",0.51,7.38,87.29,2.94,"7",602.55,17.69,429.49,6.57
"413",-9.61,"0",8.19,"0",0.5,6.24,68.03,5.43,"2",122.04,19.3,412.28,7.17
"414",6.49,"60",3.24,"0",0.43,6.51,60.98,4.32,"5",492.94,18.75,433.95,15.86
"415",-4.87,"60",-2.52,"0",0.35,7.04,21.29,5.79,"3",55.46,17.8,288.99,3.86
"416",11.66,"21",3.89,"0",0.56,6.25,47.35,3.63,"24",470.75,16.6,423.12,8.07
"417",14.63,"0",20.06,"0",0.68,5.81,98.51,1.78,"24",674.06,21.6,336.88,22.28
"418",12.78,"0",16.94,"0",0.62,5.41,88.22,3.88,"24",694.52,20.07,364.02,20.47
"419",2.97,"17.5",1.11,"0",0.53,7.4,69.53,4.59,"5",304.86,15.08,257.14,5.3
"420",-10.96,"0",1.12,"0",0.59,6.67,75.78,2.78,"1",142.73,15.83,355.03,14.28
"421",15.25,"0",26.41,"0",0.72,6.33,129.81,-0.53,"24",708.03,20.61,235.22,28.07
"422",4.24,"0",12.88,"0",0.53,5.59,73.5,2.55,"5",415.65,18.57,463.62,5.92
"423",12.39,"0",18.56,"0",0.61,5.54,93.99,3.88,"8",490.21,21.45,433.96,20.3
"424",3.29,"0",18.7,"0",0.57,6.16,107.99,3.13,"5",428.35,19.4,306.21,18.97
"425",-1.03,"20",0.41,"0",0.45,6.87,46.42,6.99,"2",79.49,16.44,360.48,11.15
"426",10.59,"0",8.11,"0",0.57,6.42,34.04,5.24,"6",421.82,19.41,242.03,12.21
"427",12.97,"25",3.36,"0",0.39,5.73,29.52,5.39,"24",451.59,21.17,460.3,8.16
"428",5.82,"0",6.17,"0",0.53,5.75,94.52,3.61,"5",487.29,21.82,395.94,22.56
"429",-8.36,"45",-2.3,"0",0.42,5.97,41.12,6.13,"1",173.41,16.25,404.19,13.74
"430",2.49,"0",17.6,"0",0.55,6.41,97.01,2.74,"5",570.67,18.11,361.72,13.23
"431",27.81,"0",24.2,"0",0.78,5.31,118.65,2.02,"24",692.9,21.25,226.4,23.02
"432",-5.11,"0",13.29,"0",0.62,5.37,61.43,1.83,"4",431.73,17.92,363.23,13.02
"433",7.81,"0",16.68,"0",0.58,6.24,106.01,2.24,"4",567.67,20.88,296.89,22.05
"434",22.61,"0",26.54,"0",0.81,6.05,109.02,-0.96,"24",569.21,17.34,310.45,20.85
"435",5.64,"20",6.62,"0",0.49,7.34,69.72,4.97,"5",311.98,18.92,434.33,1.75
"436",12.21,"0",15.63,"0",0.76,5.16,105.68,3.22,"24",644.08,20.02,231.3,26.98
"437",-1.05,"20",7.63,"0",0.5,6.42,48.99,4.66,"2",191.61,14.17,423.96,7.25
"438",4.97,"0",13.02,"0",0.54,6.8,83.34,3.25,"8",547.78,18.02,423.89,13.29
"439",1.51,"0",10.54,"0",0.65,7.13,85.19,2.64,"4",295.11,14.71,464.46,10.17
"440",5.54,"0",10.69,"0",0.68,7.45,118.33,-1,"5",393.09,19.18,338.64,16.05
"441",10.43,"22",6.37,"0",0.52,7.79,59.19,4.7,"24",341.7,17.1,435.43,-2.04
"442",6.6,"0",21.72,"0",0.81,5.58,92.72,0.5,"24",638.46,15.64,370.52,22
"443",-10.57,"20",9.73,"0",0.53,6.09,66.79,4.8,"4",323.62,18.79,341.15,9.64
"444",16.56,"0",10.37,"0",0.52,6.04,100.12,5.23,"6",439.98,18.98,370.81,16.99
"445",-12.29,"45",5.6,"0",0.38,5.91,57.18,4.73,"1",258.44,17.17,361.58,8.25
"446",0.91,"0",11.09,"0",0.56,5.91,81.47,4.77,"4",387.84,18.02,282.33,8.68
"447",18.07,"0",14.17,"0",0.64,5.17,139.52,2.04,"8",608.71,21.95,251.38,31.47
"448",11.24,"0",18.67,"0",0.79,4.98,112.7,-0.66,"24",625.24,19.77,270.62,23.68
"449",21.65,"0",25.3,"0",0.81,6.41,129.08,-0.5,"24",791.13,22.44,160.54,18.73
"450",7.83,"25",8.33,"0",0.49,6.79,53.88,4.5,"24",363.61,15.71,276.64,7.42
"451",-3.56,"12.5",7.3,"0",0.5,6.37,31.12,5.54,"4",220.11,15.17,348.21,15.13
"452",11.86,"0",18.74,"0",0.71,5.38,55.4,4.33,"24",658.73,17.83,261.65,19.5
"453",13,"0",17.62,"0",0.5,5.32,65.92,2.54,"5",531.34,23.21,306.94,13.85
"454",7.38,"0",10.27,"0",0.58,6.62,97.1,2.85,"7",403.02,18.78,500.2,16.04
"455",0.72,"0",14.57,"0",0.67,6.39,41.46,7.84,"5",310.05,16.24,317.88,16.9
"456",7.56,"0",15.76,"1",0.75,7.06,124.12,3.38,"24",487.77,16.53,397.95,13.42
"457",-2.56,"33",6.83,"0",0.59,7.26,46.47,4.34,"7",600.11,15.82,377.74,12.25
"458",-7.96,"0",15.3,"0",0.53,5.91,69.35,2.9,"2",166.03,21.36,302.77,13.5
"459",4.33,"0",7.07,"0",0.65,6.78,96.19,2.54,"5",523.61,20.13,436.25,9.7
"460",-2.14,"85",-9.98,"0",0.34,7.6,38.91,8.71,"2",44.84,16.71,450.64,-5.97
"461",16.08,"0",20.71,"0",0.65,5.11,97.41,2.4,"24",675.59,20.5,72.82,23
"462",31.74,"0",16.14,"0",0.67,6.59,77.26,2.88,"24",730.35,17.51,229.93,13.65
"463",9.33,"0",22.39,"0",0.55,4.76,84.6,4.06,"24",529.54,21.43,253.94,23.78
"464",-8.48,"0",2.73,"0",0.44,6.94,44.33,6.31,"3",192.71,18.08,208.77,12.9
"465",-10.9,"0",14.1,"0",0.52,6.89,90.36,3.48,"4",328.24,18.19,363.94,10.4
"466",5.72,"0",17,"1",0.64,5.43,73.67,3.61,"24",494.19,17.49,316.74,21.26
"467",-4.58,"0",21.35,"0",0.69,6.09,110.87,0.17,"24",692.51,18.19,456.33,28.21
"468",16.7,"0",8.98,"0",0.54,6.9,72.06,3.21,"6",437.83,18.28,350.34,9.04
"469",5.72,"0",15.73,"0",0.62,6.36,101.67,4.3,"24",635.58,22.91,249.29,20.06
"470",5.34,"0",10.52,"0",0.54,5.29,63.55,5.77,"24",501.53,21.78,518.83,10.68
"471",-6.37,"0",15,"0",0.51,4.69,75.58,4.41,"2",299.97,20.38,395.85,16.8
"472",9.87,"0",19.81,"0",0.72,6.51,122.28,1.95,"24",624.45,18.99,125.9,26.15
"473",4.55,"0",14.7,"0",0.57,6.55,78.22,2.08,"4",419.19,20.04,313.13,12.4
"474",-2.94,"0",21.41,"0",0.62,6.47,51.44,2.37,"5",591.89,18.56,351.48,15.21
"475",-13.26,"12.5",7.12,"0",0.54,6.3,72.95,3.97,"2",182.32,15.74,420.39,15.35
"476",4.52,"0",10.71,"0",0.61,6.79,102.68,1.59,"5",386.7,19.42,426.61,13.88
"477",5.01,"0",24.6,"1",0.71,6.57,91.87,1.98,"24",684.9,22.57,315.08,14.47
"478",0.28,"0",6.36,"0",0.56,6.12,54.04,3.35,"5",515.13,20.31,392.22,12.72
"479",-0.72,"25",9.31,"0",0.52,7.35,51.95,5.27,"5",560.71,20.89,360.34,7.13
"480",7.19,"0",21.21,"0",0.63,5.96,75.49,3.73,"24",748.72,24.69,102.64,27.39
"481",3.92,"0",9.17,"0",0.52,5.99,57.43,4.51,"4",273.25,21.05,353.22,15.28
"482",3.52,"0",8.24,"0",0.49,5.24,88.98,4.39,"4",278.36,19.08,287.75,22.48
"483",4.93,"0",15.94,"0",0.63,7.98,100.49,1.94,"5",436.12,18.26,298.59,0.11
"484",13.6,"0",21.22,"0",0.7,5.63,99.74,-1.05,"8",474.5,21.04,268.88,21.88
"485",3.64,"0",5.6,"0",0.4,6.46,11.93,6.27,"1",88.99,16.03,323.51,-6.45
"486",-0.26,"0",15,"0",0.67,6.97,86.33,4.62,"6",382.8,18.35,376.36,14.6
"487",20.64,"0",17.91,"0",0.64,6.4,67.06,2.66,"24",378.69,17.64,332.2,7.66
"488",1.63,"0",13.53,"0",0.61,6.09,48.47,4.31,"6",456.78,15.32,359.99,20.38
"489",12.64,"0",19.65,"0",0.73,7.09,73.74,1.41,"24",571.93,17.81,234.61,23.34
"490",-0.72,"0",11.04,"0",0.53,5.52,39.25,4.89,"4",436.99,20.11,521.29,9.92
"491",20.91,"0",26.42,"0",0.78,4.32,131.6,0.89,"24",795.52,24.43,201.56,38.15
"492",1.25,"0",15.43,"0",0.54,5.07,73.25,2.1,"5",447.46,17.81,263.87,14.7
"493",9.88,"0",5.48,"0",0.55,6.19,75.92,4.47,"5",481.11,17.87,222.65,23.31
"494",9.54,"0",9.63,"0",0.5,6,60.68,2.64,"5",303.52,19.25,234.99,17.54
"495",9.19,"0",17.64,"0",0.58,6.64,84.43,2.87,"24",704.26,21.12,160.27,13.1
"496",-8.09,"60",3.14,"0",0.49,7.4,72.01,3.84,"4",224.23,16.68,468.76,0.97
"497",1.2,"20",5.06,"0",0.45,6.54,44.89,3.69,"3",219.33,16.09,430.31,11.95
"498",5.22,"0",8.54,"1",0.41,7.29,39,5.35,"4",287.33,14.95,397.81,1.07
"499",-8.04,"0",11.02,"0",0.55,6.66,30.3,5.87,"3",291.23,17.45,362.51,7.87
"500",12.61,"0",19.42,"0",0.6,6.01,83.39,3.74,"24",480.38,19.64,429.96,20.09
"501",2.22,"0",6.56,"0",0.57,5.8,59.31,4.38,"7",346.18,19.24,356.9,6.19
"502",16.73,"0",20.23,"0",0.6,6.44,73.43,0.28,"5",558.88,21.66,495.57,11.71
"503",-8.68,"52.5",2.47,"0",0.36,6.42,45.79,6.21,"1",195.23,17.84,539.53,12.48
"504",1.82,"0",14.49,"0",0.8,6.96,124.93,0.26,"7",414.86,16.37,224.35,19.3
"505",12.6,"0",17.86,"0",0.74,5.69,86.74,1.27,"6",563.57,21.04,447.44,19.21
"506",22.02,"0",0.12,"0",0.43,7.27,70.47,3.6,"24",394.62,17.83,241.44,15.79
